 ,4.069,140154,1995/01,"QAed Data"
 ,3.976,140155,1995/01,"QAed Data"
 ,3.918,140156,1995/01,"QAed Data"
 ,3.902,140157,1995/01,"QAed Data"
 ,3.598,140158,1995/01,"QAed Data"
 ,3.645,140159,1995/01,"QAed Data"
 ,3.495,140160,1995/01,"QAed Data"
 ,3.032,140161,1995/01,"QAed Data"
 ,2.945,140162,1995/01,"QAed Data"
 ,2.864,140163,1995/01,"QAed Data"
 ,2.737,140164,1995/01,"QAed Data"
 ,2.76,140165,1995/01,"QAed Data"
 ,2.776,140166,1995/01,"QAed Data"
 ,2.433,140167,1995/01,"QAed Data"
 ,2.146,140168,1995/01,"QAed Data"
 ,2.429,140169,1995/01,"QAed Data"
 ,2.189,140170,1995/01,"QAed Data"
 ,2.378,140171,1995/01,"QAed Data"
 ,2.383,140172,1995/01,"QAed Data"
 ,2.154,140173,1995/01,"QAed Data"
 ,2.112,140174,1995/01,"QAed Data"
 ,2.26,140175,1995/01,"QAed Data"
 ,2.238,140176,1995/01,"QAed Data"
 ,2.174,140177,1995/01,"QAed Data"
 ,1.959,140178,1995/01,"QAed Data"
 ,4.016,140628,1995/01,"QAed Data"
 ,3.741,140629,1995/01,"QAed Data"
 ,3.997,140630,1995/01,"QAed Data"
 ,3.586,140631,1995/01,"QAed Data"
 ,3.899,140632,1995/01,"QAed Data"
 ,3.499,140633,1995/01,"QAed Data"
 ,3.501,140634,1995/01,"QAed Data"
 ,3.183,140635,1995/01,"QAed Data"
 ,2.99,140636,1995/01,"QAed Data"
 ,2.91,140637,1995/01,"QAed Data"
 ,2.742,140638,1995/01,"QAed Data"
 ,2.666,140639,1995/01,"QAed Data"
 ,2.669,140640,1995/01,"QAed Data"
 ,2.465,140641,1995/01,"QAed Data"
 ,2.212,140642,1995/01,"QAed Data"
 ,2.152,140643,1995/01,"QAed Data"
 ,2.331,140644,1995/01,"QAed Data"
 ,2.273,140645,1995/01,"QAed Data"
 ,2.437,140646,1995/01,"QAed Data"
 ,2.324,140647,1995/01,"QAed Data"
 ,2.372,140648,1995/01,"QAed Data"
 ,2.405,140649,1995/01,"QAed Data"
 ,1.998,140650,1995/01,"QAed Data"
 ,2.243,140651,1995/01,"QAed Data"
 ,1.939,140652,1995/01,"QAed Data"
 ,3.951,141102,1995/01,"QAed Data"
 ,4.009,141103,1995/01,"QAed Data"
 ,3.667,141104,1995/01,"QAed Data"
 ,3.827,141105,1995/01,"QAed Data"
 ,3.833,141106,1995/01,"QAed Data"
 ,3.37,141107,1995/01,"QAed Data"
 ,3.347,141108,1995/01,"QAed Data"
 ,3.376,141109,1995/01,"QAed Data"
 ,2.874,141110,1995/01,"QAed Data"
 ,2.847,141111,1995/01,"QAed Data"
 ,2.831,141112,1995/01,"QAed Data"
 ,2.564,141113,1995/01,"QAed Data"
 ,2.42,141114,1995/01,"QAed Data"
 ,2.31,141115,1995/01,"QAed Data"
 ,2.372,141116,1995/01,"QAed Data"
 ,2.28,141117,1995/01,"QAed Data"
 ,2.165,141118,1995/01,"QAed Data"
 ,2.131,141119,1995/01,"QAed Data"
 ,2.163,141120,1995/01,"QAed Data"
 ,2.233,141121,1995/01,"QAed Data"
 ,2.011,141122,1995/01,"QAed Data"
 ,2.128,141123,1995/01,"QAed Data"
 ,2.293,141124,1995/01,"QAed Data"
 ,2.143,141125,1995/01,"QAed Data"
 ,2.081,141126,1995/01,"QAed Data"
 ,3.796,141576,1995/01,"QAed Data"
 ,3.929,141577,1995/01,"QAed Data"
 ,3.764,141578,1995/01,"QAed Data"
 ,3.836,141579,1995/01,"QAed Data"
 ,3.741,141580,1995/01,"QAed Data"
 ,3.642,141581,1995/01,"QAed Data"
 ,3.457,141582,1995/01,"QAed Data"
 ,3.234,141583,1995/01,"QAed Data"
 ,3.085,141584,1995/01,"QAed Data"
 ,3.006,141585,1995/01,"QAed Data"
 ,2.715,141586,1995/01,"QAed Data"
 ,2.742,141587,1995/01,"QAed Data"
 ,2.653,141588,1995/01,"QAed Data"
 ,2.352,141589,1995/01,"QAed Data"
 ,2.263,141590,1995/01,"QAed Data"
 ,2.057,141591,1995/01,"QAed Data"
 ,1.949,141592,1995/01,"QAed Data"
 ,2.113,141593,1995/01,"QAed Data"
 ,2.081,141594,1995/01,"QAed Data"
 ,2.133,141595,1995/01,"QAed Data"
 ,1.95,141596,1995/01,"QAed Data"
 ,1.982,141597,1995/01,"QAed Data"
 ,2.176,141598,1995/01,"QAed Data"
 ,1.967,141599,1995/01,"QAed Data"
 ,2.165,141600,1995/01,"QAed Data"
 ,3.096,142050,1995/01,"QAed Data"
 ,3.974,142051,1995/01,"QAed Data"
 ,3.874,142052,1995/01,"QAed Data"
 ,3.753,142053,1995/01,"QAed Data"
 ,3.538,142054,1995/01,"QAed Data"
 ,3.743,142055,1995/01,"QAed Data"
 ,3.323,142056,1995/01,"QAed Data"
 ,3.071,142057,1995/01,"QAed Data"
 ,3.045,142058,1995/01,"QAed Data"
 ,2.917,142059,1995/01,"QAed Data"
 ,3.07,142060,1995/01,"QAed Data"
 ,2.747,142061,1995/01,"QAed Data"
 ,2.663,142062,1995/01,"QAed Data"
 ,2.454,142063,1995/01,"QAed Data"
 ,2.18,142064,1995/01,"QAed Data"
 ,2.165,142065,1995/01,"QAed Data"
 ,2.125,142066,1995/01,"QAed Data"
 ,1.997,142067,1995/01,"QAed Data"
 ,2.032,142068,1995/01,"QAed Data"
 ,1.977,142069,1995/01,"QAed Data"
 ,2.156,142070,1995/01,"QAed Data"
 ,1.975,142071,1995/01,"QAed Data"
 ,2.094,142072,1995/01,"QAed Data"
 ,2.011,142073,1995/01,"QAed Data"
 ,2.081,142074,1995/01,"QAed Data"
 ,3.97,142524,1995/01,"QAed Data"
 ,3.688,142525,1995/01,"QAed Data"
 ,3.913,142526,1995/01,"QAed Data"
 ,4.036,142527,1995/01,"QAed Data"
 ,3.927,142528,1995/01,"QAed Data"
 ,3.656,142529,1995/01,"QAed Data"
 ,3.27,142530,1995/01,"QAed Data"
 ,3.291,142531,1995/01,"QAed Data"
 ,2.988,142532,1995/01,"QAed Data"
 ,3.145,142533,1995/01,"QAed Data"
 ,2.937,142534,1995/01,"QAed Data"
 ,2.861,142535,1995/01,"QAed Data"
 ,2.734,142536,1995/01,"QAed Data"
 ,2.571,142537,1995/01,"QAed Data"
 ,2.33,142538,1995/01,"QAed Data"
 ,2.253,142539,1995/01,"QAed Data"
 ,2.094,142540,1995/01,"QAed Data"
 ,1.784,142541,1995/01,"QAed Data"
 ,2.031,142542,1995/01,"QAed Data"
 ,1.996,142543,1995/01,"QAed Data"
 ,2.085,142544,1995/01,"QAed Data"
 ,2.042,142545,1995/01,"QAed Data"
 ,2.323,142546,1995/01,"QAed Data"
 ,2.216,142547,1995/01,"QAed Data"
 ,2.005,142548,1995/01,"QAed Data"
 ,3.653,142998,1995/01,"QAed Data"
 ,3.384,142999,1995/01,"QAed Data"
 ,3.498,143000,1995/01,"QAed Data"
 ,3.576,143001,1995/01,"QAed Data"
 ,3.766,143002,1995/01,"QAed Data"
 ,3.582,143003,1995/01,"QAed Data"
 ,3.421,143004,1995/01,"QAed Data"
 ,3.263,143005,1995/01,"QAed Data"
 ,3.146,143006,1995/01,"QAed Data"
 ,3.175,143007,1995/01,"QAed Data"
 ,3.045,143008,1995/01,"QAed Data"
 ,2.929,143009,1995/01,"QAed Data"
 ,2.896,143010,1995/01,"QAed Data"
 ,2.561,143011,1995/01,"QAed Data"
 ,2.295,143012,1995/01,"QAed Data"
 ,2.146,143013,1995/01,"QAed Data"
 ,2.008,143014,1995/01,"QAed Data"
 ,1.907,143015,1995/01,"QAed Data"
 ,1.964,143016,1995/01,"QAed Data"
 ,1.937,143017,1995/01,"QAed Data"
 ,2.085,143018,1995/01,"QAed Data"
 ,2.206,143019,1995/01,"QAed Data"
 ,2.253,143020,1995/01,"QAed Data"
 ,2.175,143021,1995/01,"QAed Data"
 ,2.032,143022,1995/01,"QAed Data"
 ,3.458,143472,1995/01,"QAed Data"
 ,3.553,143473,1995/01,"QAed Data"
 ,3.728,143474,1995/01,"QAed Data"
 ,3.056,143475,1995/01,"QAed Data"
