 ,4.468,132096,1995/01,"QAed Data"
 ,4.419,132097,1995/01,"QAed Data"
 ,3.943,132098,1995/01,"QAed Data"
 ,4.117,132099,1995/01,"QAed Data"
 ,3.894,132100,1995/01,"QAed Data"
 ,3.806,132101,1995/01,"QAed Data"
 ,3.599,132102,1995/01,"QAed Data"
 ,3.309,132103,1995/01,"QAed Data"
 ,3.244,132104,1995/01,"QAed Data"
 ,3.167,132105,1995/01,"QAed Data"
 ,3.053,132106,1995/01,"QAed Data"
 ,2.674,132107,1995/01,"QAed Data"
 ,2.537,132108,1995/01,"QAed Data"
 ,2.444,132109,1995/01,"QAed Data"
 ,2.172,132110,1995/01,"QAed Data"
 ,2.138,132111,1995/01,"QAed Data"
 ,2,132112,1995/01,"QAed Data"
 ,1.986,132113,1995/01,"QAed Data"
 ,1.913,132114,1995/01,"QAed Data"
 ,1.897,132115,1995/01,"QAed Data"
 ,1.826,132116,1995/01,"QAed Data"
 ,1.817,132117,1995/01,"QAed Data"
 ,1.804,132118,1995/01,"QAed Data"
 ,2.032,132119,1995/01,"QAed Data"
 ,1.924,132120,1995/01,"QAed Data"
 ,4.676,132570,1995/01,"QAed Data"
 ,4.365,132571,1995/01,"QAed Data"
 ,4.268,132572,1995/01,"QAed Data"
 ,4.021,132573,1995/01,"QAed Data"
 ,3.91,132574,1995/01,"QAed Data"
 ,3.762,132575,1995/01,"QAed Data"
 ,3.56,132576,1995/01,"QAed Data"
 ,3.252,132577,1995/01,"QAed Data"
 ,3.188,132578,1995/01,"QAed Data"
 ,3.223,132579,1995/01,"QAed Data"
 ,2.975,132580,1995/01,"QAed Data"
 ,2.67,132581,1995/01,"QAed Data"
 ,2.561,132582,1995/01,"QAed Data"
 ,2.405,132583,1995/01,"QAed Data"
 ,2.333,132584,1995/01,"QAed Data"
 ,2.056,132585,1995/01,"QAed Data"
 ,1.866,132586,1995/01,"QAed Data"
 ,1.831,132587,1995/01,"QAed Data"
 ,1.705,132588,1995/01,"QAed Data"
